date,Solo,Random 2v2,Random 3v3,Random 4v4,Arranged 2v2,Arranged 3v3,Arranged 4v4,Tournament,FFA
2017-01-01,853,1,0,353,27,0,0,2,0
2017-01-02,1045,4,0,465,48,0,0,0,0
2017-01-03,845,1,0,366,22,0,0,47,0
2017-01-04,773,3,0,362,24,0,0,1,0
2017-01-05,875,1,0,393,25,0,0,9,0
2017-01-06,907,0,0,334,12,0,0,2,0
2017-01-07,1081,3,0,445,21,1,0,75,0
2017-01-08,1066,1,0,474,22,0,0,7,1
2017-01-09,784,5,0,343,9,0,0,0,0
2017-01-10,794,2,0,334,27,0,0,88,0
2017-01-11,755,1,0,346,21,0,0,7,0
2017-01-12,754,3,0,327,7,0,0,51,0
2017-01-13,821,1,0,334,21,0,0,7,0
2017-01-14,1026,4,0,419,24,0,0,1,0
2017-01-15,996,3,0,440,19,0,0,95,0
2017-01-16,923,3,0,390,14,0,0,0,0
2017-01-17,823,2,0,335,7,0,0,3,0
2017-01-18,840,1,0,339,5,0,0,77,0
2017-01-19,920,0,0,336,11,0,0,4,0
2017-01-20,839,4,0,334,10,0,0,86,0
2017-01-21,1006,1,0,386,16,0,0,9,0
2017-01-22,1069,2,0,462,36,0,0,1,0
2017-01-23,809,0,0,334,23,0,0,0,0
2017-01-24,876,2,0,351,4,0,0,46,0
2017-01-25,826,1,0,337,9,0,0,3,0
2017-01-26,843,3,0,368,16,0,0,53,0
2017-01-27,875,0,0,339,11,0,0,4,0
2017-01-28,1037,2,0,456,27,0,0,113,1
2017-01-29,1066,4,0,485,34,0,0,7,2
2017-01-30,844,0,0,339,5,1,0,0,0
2017-01-31,852,1,1,353,5,0,0,112,0
2017-02-01,968,2,0,324,11,0,0,7,0
2017-02-02,952,1,0,328,0,0,0,57,0
2017-02-03,933,3,0,352,1,0,0,2,0
2017-02-04,1265,3,0,451,7,0,0,2,0
2017-02-05,1045,2,0,441,8,0,0,92,0
2017-02-06,853,2,0,354,1,0,0,0,0
2017-02-07,838,10,2,304,6,0,0,1,0
2017-02-08,891,3,0,333,6,0,0,36,0
2017-02-09,928,4,0,349,1,0,0,5,0
2017-02-10,894,1,0,345,3,0,0,75,0
2017-02-11,1068,2,0,433,8,0,0,12,0
2017-02-12,1199,0,0,493,2,0,0,2,0
2017-02-13,875,0,0,295,11,0,0,0,0
2017-02-14,794,0,0,287,3,0,0,30,0
2017-02-15,866,1,0,302,0,0,0,2,0
2017-02-16,855,0,0,282,2,0,0,3,0
2017-02-17,800,1,0,326,2,0,0,2,0
2017-02-18,977,0,0,409,0,0,0,85,0
2017-02-19,957,1,0,465,7,0,0,5,0
2017-02-20,1012,1,0,390,9,0,0,0,0
2017-02-21,836,0,0,290,8,0,0,60,0
2017-02-22,820,2,0,292,13,0,0,5,0
2017-02-23,881,1,0,306,8,0,0,62,0
2017-02-24,731,3,0,320,2,0,0,9,0
2017-02-25,1056,1,0,472,12,0,0,0,0
2017-02-26,1071,3,0,458,15,0,0,106,0
2017-02-27,766,1,0,304,0,0,0,0,0
2017-02-28,805,0,0,310,1,0,0,3,0
2017-03-01,804,0,0,288,2,0,0,56,0
2017-03-02,826,0,0,318,4,0,0,1,0
2017-03-03,790,0,1,321,11,0,0,45,0
2017-03-04,987,2,0,408,12,0,0,8,0
2017-03-05,1012,1,0,490,6,0,0,1,1
2017-03-06,743,0,0,291,4,0,0,0,0
2017-03-07,781,0,0,313,3,0,0,37,0
2017-03-08,707,0,0,291,1,0,0,6,0
2017-03-09,720,0,0,300,0,0,0,31,0
2017-03-10,671,0,0,293,0,0,0,5,0
2017-03-11,1015,3,2,473,27,0,0,100,0
2017-03-12,1037,0,0,459,7,0,0,3,0
2017-03-13,901,0,0,336,2,0,0,0,0
2017-03-14,880,5,0,357,8,0,0,64,0
2017-03-15,898,8,0,321,4,0,0,4,0
2017-03-16,812,0,0,286,2,0,0,52,0
2017-03-17,792,2,0,229,3,0,0,3,0
2017-03-18,929,2,0,379,5,0,0,1,0
2017-03-19,908,0,0,449,10,0,0,99,0
2017-03-20,783,0,0,285,6,0,0,0,0
2017-03-21,738,2,0,287,8,0,0,0,0
2017-03-22,684,1,0,284,1,0,0,35,0
2017-03-23,750,0,0,285,4,0,0,2,0
2017-03-24,768,0,0,308,10,0,0,71,0
2017-03-25,901,0,0,345,2,0,0,1,0
2017-03-26,1063,1,0,420,7,0,0,1,0
2017-03-27,750,1,0,296,1,0,0,0,0
2017-03-28,841,2,0,304,2,0,0,27,0
2017-03-29,730,0,0,281,3,0,0,1,1
2017-03-30,782,0,0,265,6,0,0,2,0
2017-03-31,825,2,0,286,0,0,0,1,0
2017-04-01,910,0,0,359,1,0,0,64,0
2017-04-02,942,5,0,407,3,0,0,6,0
2017-04-03,819,4,0,284,1,0,0,0,0
2017-04-04,680,6,0,226,0,0,0,50,0
2017-04-05,422,1,0,127,0,0,0,1,0
2017-04-06,450,7,0,194,2,0,0,52,0
2017-04-07,564,0,0,182,7,0,0,2,0
2017-04-08,610,1,0,237,1,0,0,0,0
2017-04-09,660,1,0,278,3,0,0,45,0
2017-04-10,601,1,0,207,0,0,0,0,0
2017-04-11,566,12,0,200,5,0,0,7,0
2017-04-12,570,0,0,189,0,0,0,58,0
2017-04-13,546,3,0,173,0,0,0,2,0
2017-04-14,617,11,0,217,3,0,0,46,0
2017-04-15,740,4,0,264,0,0,0,1,0
2017-04-16,686,1,0,275,6,0,0,3,0
2017-04-17,581,4,0,198,0,0,0,0,0
2017-04-18,526,0,0,191,0,0,0,33,0
2017-04-19,557,15,0,200,0,0,0,2,0
2017-04-20,503,3,0,199,0,0,0,28,0
2017-04-21,584,5,0,215,0,0,0,2,0
2017-04-22,694,2,0,298,3,0,0,55,0
2017-04-23,751,1,0,308,1,0,0,5,0
2017-04-24,515,3,0,214,2,0,0,0,0
2017-04-25,541,0,0,221,0,0,0,51,0
2017-04-26,498,0,0,205,0,0,0,1,0
2017-04-27,452,1,0,183,0,0,0,29,0
2017-04-28,401,0,0,215,0,0,0,4,0
2017-04-29,562,9,0,272,0,0,0,2,0
2017-04-30,618,2,0,312,1,0,0,63,0
2017-05-01,462,1,0,234,1,0,0,0,1
2017-05-02,499,0,0,214,0,0,0,2,0
2017-05-03,455,8,0,203,0,0,0,11,0
2017-05-04,523,0,0,234,3,0,0,2,0
2017-05-05,533,0,0,235,7,0,0,43,0
2017-05-06,613,0,0,287,1,0,0,6,0
2017-05-07,701,0,0,309,0,0,0,4,0
2017-05-08,495,1,0,221,0,0,0,0,1
2017-05-09,397,0,0,157,2,0,0,30,1
2017-05-10,535,0,0,169,1,0,0,5,0
2017-05-11,488,4,0,207,0,0,0,5,0
2017-05-12,535,0,0,199,0,0,0,1,0
2017-05-13,665,3,0,251,2,0,0,64,0
2017-05-14,673,4,0,288,0,0,0,13,0
2017-05-15,458,1,0,221,1,0,0,0,0
2017-05-16,501,6,0,209,0,0,0,37,0
2017-05-17,557,0,0,178,1,0,0,2,0
2017-05-18,502,3,0,215,1,0,0,48,0
2017-05-19,524,4,1,240,0,0,0,4,0
2017-05-20,733,1,0,287,1,0,0,1,0
2017-05-21,702,6,0,299,1,0,0,59,0
2017-05-22,559,4,0,215,1,0,0,0,0
2017-05-23,502,0,0,195,2,0,0,1,0
2017-05-24,500,7,0,203,0,0,0,26,0
2017-05-25,548,8,0,212,1,0,0,1,0
2017-05-26,548,2,0,235,1,0,0,43,0
2017-05-27,673,6,0,274,1,0,0,3,0
2017-05-28,757,5,0,305,8,0,0,1,0
2017-05-29,705,2,0,318,1,0,0,0,0
2017-05-30,523,0,0,221,0,0,0,27,0
2017-05-31,561,0,0,208,3,0,0,1,0
2017-06-01,554,0,0,191,1,0,0,34,0
2017-06-02,607,10,0,191,2,0,0,1,0
2017-06-03,718,10,0,229,0,0,0,60,0
2017-06-04,727,5,0,307,2,0,0,2,0
2017-06-05,653,0,0,194,1,0,0,0,0
2017-06-06,554,0,0,206,3,0,0,48,0
2017-06-07,589,1,0,193,0,0,0,1,0
2017-06-08,602,7,0,199,0,0,0,20,0
2017-06-09,548,6,0,189,0,0,0,2,0
2017-06-10,691,15,0,297,0,0,0,1,0
2017-06-11,711,0,0,304,2,0,0,61,0
2017-06-12,613,0,0,203,0,0,0,0,0
2017-06-13,602,10,0,202,2,0,0,1,0
2017-06-14,527,21,0,188,0,0,0,27,0
2017-06-15,571,2,0,199,3,0,0,1,0
2017-06-16,625,4,0,197,0,0,0,61,0
2017-06-17,735,8,0,288,4,0,0,3,0
2017-06-18,736,5,0,316,1,0,0,0,0
2017-06-19,606,1,0,253,4,0,0,0,0
2017-06-20,585,10,0,193,0,0,0,35,0
2017-06-21,578,1,0,198,3,0,0,1,0
2017-06-22,689,1,0,263,11,0,0,2,0
2017-06-23,656,1,0,226,4,0,0,0,0
2017-06-24,769,2,0,241,0,0,0,58,0
2017-06-25,811,1,0,286,2,0,0,8,0
2017-06-26,751,0,0,177,0,0,0,0,0
2017-06-27,730,0,0,185,0,0,0,55,0
2017-06-28,666,0,0,179,0,0,0,4,0
2017-06-29,675,0,0,184,0,0,0,65,0
2017-06-30,756,0,0,207,0,0,0,4,0
2017-07-01,868,0,0,237,10,0,0,2,0
2017-07-02,790,1,0,262,10,0,0,61,0
2017-07-03,714,0,0,215,0,0,0,0,0
2017-07-04,723,0,0,234,5,0,0,3,0
2017-07-05,644,0,0,183,0,0,0,42,0
2017-07-06,729,0,0,202,4,0,4,2,0
2017-07-07,740,0,0,180,1,0,0,75,0
2017-07-08,871,0,0,266,7,0,0,2,0
2017-07-09,990,0,0,253,2,0,0,2,0
2017-07-10,755,0,0,223,6,0,0,0,0
2017-07-11,671,0,0,170,7,1,1,24,0
2017-07-12,711,0,0,210,6,0,0,1,0
2017-07-13,749,0,0,189,0,0,0,33,0
2017-07-14,377,1,0,69,0,0,0,0,0
